City,Weight,Latitude,Longitude
Nogent-sur-Oise,2,49.2720766,2.469591
Noirmoutier-en-l'Île,2,47.000089,-2.2441449
Noisy-le-Sec,1,48.8897751,2.4516055
Nuits-Saint-Georges,2,47.1367598,4.9489061
Nyborg,1,55.3098281,10.7976604
Obernai,1,48.4623358,7.4817123
Olonne-sur-Mer,1,46.5358685,-1.7687019
Oloron,1,43.1922408,-0.6115586
Orange,1,44.14218,4.810668
Orchies,2,50.4745024,3.2425313
Orcières-Merlette,8,44.6972064,6.3235516
Orléans,12,47.9027336,1.9086066
Orthez,2,43.4874963,-0.7738363
Oyonnax,2,46.2575174,5.6556181
Palaiseau,1,48.7144587,2.2453842
Pamiers,1,43.1147515,1.6082177
Pampelune,2,42.815686,-1.6522353
Pantin,1,48.8965023,2.4019804
Paris,141,48.8588897,2.320041
Paris Champs-Élysées,19,48.8707573,2.3053312
Paris La Défense Arena,1,48.8956766,2.2296581
Pas de la Case,1,42.5447098,1.733494
Passage du Gois,1,46.9209904,-2.1037585
Passy,1,46.5412837,4.5343419
Pau,131,43.2957547,-0.3685668
Pauillac,1,45.1995626,-0.7484994
Périgueux,5,45.1909365,0.7184407
Péronne,1,49.9289578,2.9321899
Perpignan,68,42.6985304,2.8953121
Perros-Guirec,2,48.8151133,-3.4394662
Peyragudes,4,42.7761884,0.4574178
Peyrehorade,1,43.5440941,-1.105088
Pforzheim,3,48.890934,8.7025509
Piau-Engaly,1,42.7802074,0.1586135
Pinerolo,3,44.8873086,7.3319454
Plaisance,1,45.0534751,9.6947461
Plateau de Beille,1,42.7260378,1.6908485
plateau_de_beille,6,42.7260378,1.6908485
Plouay,2,47.9137896,-3.3326995
Plumelec,8,47.8378469,-2.6396508
Plymouth,2,50.3714122,-4.1424451
Poitiers,8,46.5802596,0.340196
Poligny,1,48.224132,2.7448859
Pont du Gard,1,43.9470703,4.5356005
Pont l'Evêque,1,49.2849832,0.1832571
Pontarlier,13,46.9040348,6.3546345
Pont-Audemer,1,49.356241,0.515331
Pontchateau,1,47.4373374,-2.0880233
Pontivy,1,48.0647729,-2.9675702
Pontoise,1,49.0508845,2.1008067
Pornic,1,47.1152695,-2.1040102
Pornichet,1,47.2613293,-2.3364238
Porrentruy,1,47.4171297,7.0761342
Port Barcarès,1,42.8316108,3.0388636
porto_vecchio,1,41.5911382,9.2794469
Portsmouth,2,50.800031,-1.0906023
Pouilly-en-Auxois,1,47.2622415,4.5561961
Pra Loup,3,44.3697585,6.6027579
Prapoutel,1,45.2567786,5.9954353
Prato Nevoso,1,44.2552915,7.7855885
Privas,2,44.7352708,4.5986733
Puy de Dôme,15,45.7715343,3.0839934
Puy de Sancy,1,45.5282418,2.8140109
Puy Mary Cantal,1,45.1093058,2.6762524
Puy-du-Fou,5,46.8888329,-0.9304404
Pyrénées 2000,2,42.5210406,2.059667
Quillan,1,42.8765847,2.1941009
Quimper,7,47.9960325,-4.1024782
Rambouillet,4,48.6452851,1.819207
Redon,2,47.6510682,-2.0842143
Regnier-Durette,1,46.153142,4.644922
Reims,20,49.2577886,4.031926
Renazé,1,47.793333,-1.0557842
Rennes,26,48.1113387,-1.6800198
Revel,13,43.461632,2.003305
Rimini,1,43.9465433,12.630749
Risoul,1,44.6491889,6.6387088
Roanne,2,46.0345572,4.0729178
Rocamadour,1,44.7995467,1.6181714
Rochefort,5,45.9366592,-0.9616399
Rodez,7,44.3511408,2.5728493
Romans-sur-Isère,1,45.0458886,5.0528681
Roquefort,2,43.7589265,0.6032061
Roscoff,1,48.7255816,-3.9828983
Roskilde,1,55.6433478,12.0819247
Rotterdam,5,51.9244424,4.47775
Roubaix,50,50.6915893,3.1741734
Rouen,33,49.4404591,1.0939658
Royan,15,45.6245332,-1.0287636
Ruelle,1,45.6764245,0.2213232
Ruffec,1,46.0287057,0.1994619
Rungis,1,48.7484048,2.3472665
Sablé,1,47.8417452,-0.3419932
Saint Gaudens,22,43.1077682,0.7247218
Saint Julien en Genevois,1,46.1444789,6.0812467
Saint Nazaire,6,47.2733517,-2.2138905
Saint Orens de G.,1,43.5488728,1.5438358
Saint-Amand-les-Eaux,2,50.4491519,3.4281142
Saint-Amand-Montrond,4,46.7227062,2.5046503
Saint-Brieuc,19,48.5141134,-2.7603283
Saint-Denis,1,48.935773,2.3580232
Saint-Dié-des-Vosges,1,48.2873153,6.9477708
Saint-Dier-d'Auvergne,1,45.6758768,3.4818948
Saint-Dizier,2,48.6371125,4.9473513
Sainte Geneviève des Bois,1,48.6407872,2.3259129
Sainte-Foy-la-Grande,3,44.8416496,0.214969
Saint-Emilion,3,44.8931452,-0.1560662
Saintes,6,45.7460663,-0.6300671
Saint-Etienne,45,45.4401467,4.3873058
Saint-Étienne,4,45.4401467,4.3873058
Saint-Fargeau,1,47.6402988,3.0722102
Saint-Flour,6,45.7084425,3.5026164
Saint-Galmier,1,45.5903147,4.3183716
Saint-Gaudens,2,43.1077682,0.7247218
Saint-Germain-en-Laye,2,48.8990413,2.0942792
Saint-Gervais,4,45.2022356,5.4820229
Saint-Gervais Mont-Blanc,3,45.8925434,6.7113416
Saint-Gildas-des-Bois,1,47.5174681,-2.0369967
